,Dateonmarket,Bathrooms,Bedrooms,City,Monthly Rental,SQFT,State,Zip_Code,streetAddress
153,2017-04-16,1.0,2.0, Staten Island ,1600.0,700.0,NY ,10310.0,342 Davis Avenue # E FL 2ND
154,2017-04-11,1.0,3.0, Staten Island ,1950.0,1250.0,NY ,10310.0,Broadway
155,2017-04-05,3.0,5.0, Staten Island ,2199.0,1569.0,NY ,10310.0,16 Caroline St
156,2017-04-04,1.0,3.0, Staten Island ,1950.0,5060.0,NY ,10310.0,536 Broadway
157,2017-04-04,1.0,3.0, Staten Island ,1950.0,3920.0,NY ,10310.0,50 Manor Rd
158,2017-04-01,1.0,1.0, Staten Island ,1300.0,700.0,NY ,10310.0,490 Clove Rd
159,2017-03-29,2.0,2.0, Staten Island ,2400.0,1700.0,NY ,10310.0,172 Greenleaf Ave # 2A
160,2017-03-12,2.0,2.0, Staten Island ,2050.0,3395.0,NY ,10310.0,Martling Ave
161,2017-03-09,1.0,3.0, Staten Island ,2400.0,2100.0,NY ,10310.0,85 Bard Ave
162,2017-03-09,1.0,2.0, Staten Island ,1850.0,1000.0,NY ,10310.0,40 Amelia Ct
163,2016-09-17,1.0,3.0, Staten Island ,2250.0,2610.0,NY ,10310.0,205 Oakland Ave
164,2017-04-21,1.0,1.0, Staten Island ,1380.0,800.0,NY ,10314.0,45 Vassar St
165,2017-04-21,1.0,1.0, Staten Island ,1350.0,1800.0,NY ,10314.0,208 Roman Ave
166,2017-04-20,1.0,1.0, Staten Island ,1500.0,2004.0,NY ,10314.0,92 Amsterdam Ave
167,2017-04-17,2.0,2.0, Staten Island ,2200.0,1150.0,NY ,10314.0,2 Richmond Hill Rd
168,2017-04-15,1.0,1.0, Staten Island ,1200.0,2538.0,NY ,10314.0,87 Amsterdam Ave # WALK
169,2017-04-22,1.0,1.0, Staten Island ,1100.0,2120.0,NY ,10312.0,229 Getz Ave
170,2017-04-21,2.0,4.0, Staten Island ,2800.0,2250.0,NY ,10312.0,Colon St
171,2017-04-19,1.0,1.0, Staten Island ,1095.0,2288.0,NY ,10312.0,Wycliff Ln
172,2017-04-19,1.0,1.0, Staten Island ,1000.0,1872.0,NY ,10312.0,Lamoka Ave
173,2017-04-17,1.0,2.0, Staten Island ,1200.0,400.0,NY ,10312.0,414 Bartlett Ave # WALKIN
174,2017-04-16,1.0,1.0, Staten Island ,1300.0,1890.0,NY ,10312.0,215 Mayberry Promenade
175,2017-04-16,2.0,3.0, Staten Island ,2600.0,1520.0,NY ,10312.0,138 Forest Grn
176,2017-04-10,1.0,3.0, Staten Island ,2200.0,2088.0,NY ,10312.0,26 Berry Ave W
177,2017-04-09,1.0,2.0, Staten Island ,1450.0,600.0,NY ,10312.0,Memphis Ave
178,2017-04-05,1.0,2.0, Staten Island ,1500.0,490.0,NY ,10312.0,41 Yucca Dr
179,2017-04-04,1.0,1.0, Staten Island ,1200.0,2876.0,NY ,10312.0,Carlton Blvd
180,2017-04-01,2.0,3.0, Staten Island ,2400.0,2093.0,NY ,10312.0,Canton Ave
181,2017-04-01,1.0,3.0, Staten Island ,1900.0,2200.0,NY ,10312.0,3589 Richmond Ave
182,2017-03-28,1.0,1.0, Staten Island ,1250.0,500.0,NY ,10312.0,115 Russek Dr
183,2017-03-27,1.0,2.0, Staten Island ,1399.0,700.0,NY ,10312.0,Detroit Ave
184,2017-03-22,1.0,1.0, Staten Island ,1300.0,2275.0,NY ,10312.0,128 Woehrle Ave
185,2017-03-17,1.0,1.0, Staten Island ,1150.0,3750.0,NY ,10312.0,6 Carlton Ct
186,2017-03-16,2.0,3.0, Staten Island ,2600.0,1068.0,NY ,10312.0,30 Seguine Pl
187,2017-02-27,1.0,3.0, Staten Island ,2000.0,1000.0,NY ,10312.0,114 Stafford Ave # 2
188,2017-02-21,1.0,2.0, Staten Island ,1550.0,1944.0,NY ,10312.0,164 Beach Rd
189,2017-02-09,1.0,2.0, Staten Island ,1600.0,1944.0,NY ,10312.0,160 Beach Rd
190,2017-02-02,1.0,1.0, Staten Island ,1300.0,2004.0,NY ,10312.0,Nippon Ave
191,2017-01-09,1.0,3.0, Staten Island ,4500.0,2232.0,NY ,10312.0,17 Ashton Dr
192,2017-04-21,1.0,1.0, Staten Island ,950.0,2392.0,NY ,10309.0,217 Gaynor St
193,2017-04-21,1.0,1.0, Staten Island ,1380.0,800.0,NY ,10314.0,45 Vassar St
194,2017-04-21,1.0,1.0, Staten Island ,1100.0,800.0,NY ,10305.0,129 Hurlbert St
195,2017-04-21,2.0,2.0, Staten Island ,1700.0,1080.0,NY ,10306.0,21 Navesink Pl
